Flight_Phase,Height,Count_Incident
APPROACH,1079.9990079883125,47432
TAKEOFF RUN,4.1951138677145687,21314
LANDING ROLL,4.6955422224426169,20406
CLIMB,1336.3944626009718,19223
DESCENT,6138.4924483306941,3091
EN ROUTE,3832.4613284804382,1583
LANDING,131.02840909090904,399
DEPARTURE,9735.2941176470613,364
TAXI,0.0,345
ARRIVAL,0.0,150
LOCAL,763.925925925926,148
PARKED,0.0,54
