Airport,State,Flight_Phase,Height,Speed,Distance
WILLIAM P HOBBY ARPT,TX,APPROACH,,,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,50,135,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,3500,230,9.0
WILLIAM P HOBBY ARPT,TX,APPROACH,2000,150,6.0
WILLIAM P HOBBY ARPT,TX,APPROACH,5,135,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,30,123,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,450,130,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,3000,200,10.0
WILLIAM P HOBBY ARPT,TX,APPROACH,10,140,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4000,240,15.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1400,160,2.0
WILLIAM P HOBBY ARPT,TX,APPROACH,700,140,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,50,130,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,200,140,2.0
WILLIAM P HOBBY ARPT,TX,APPROACH,10,125,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,5000,250,20.0
WILLIAM P HOBBY ARPT,TX,APPROACH,900,130,3.0
WILLIAM P HOBBY ARPT,TX,APPROACH,900,130,3.0
WILLIAM P HOBBY ARPT,TX,APPROACH,10,135,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,500,130,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,80,136,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,50,140,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,6000,210,10.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4000,210,10.0
WILLIAM P HOBBY ARPT,TX,APPROACH,7000,250,5.0
WILLIAM P HOBBY ARPT,TX,APPROACH,5,135,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,900,135,3.0
WILLIAM P HOBBY ARPT,TX,APPROACH,800,130,2.0
WILLIAM P HOBBY ARPT,TX,APPROACH,3000,,10.0
WILLIAM P HOBBY ARPT,TX,APPROACH,400,130,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,25,125,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,200,132,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,200,135,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,10,140,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,6000,,10.0
WILLIAM P HOBBY ARPT,TX,APPROACH,100,135,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1000,140,3.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4500,220,4.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1950,170,8.0
WILLIAM P HOBBY ARPT,TX,APPROACH,2000,210,14.0
WILLIAM P HOBBY ARPT,TX,APPROACH,500,135,2.0
WILLIAM P HOBBY ARPT,TX,APPROACH,10,138,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,6000,210,15.0
WILLIAM P HOBBY ARPT,TX,APPROACH,200,140,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,3000,200,2.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1200,180,6.0
WILLIAM P HOBBY ARPT,TX,APPROACH,300,140,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,15,131,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4000,250,18.0
WILLIAM P HOBBY ARPT,TX,APPROACH,200,140,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,300,142,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1500,130,6.0
WILLIAM P HOBBY ARPT,TX,APPROACH,6000,240,22.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1000,135,3.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4000,210,20.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4300,250,15.0
WILLIAM P HOBBY ARPT,TX,APPROACH,2000,144,3.0
WILLIAM P HOBBY ARPT,TX,APPROACH,800,140,5.0
WILLIAM P HOBBY ARPT,TX,APPROACH,2000,155,5.0
WILLIAM P HOBBY ARPT,TX,APPROACH,5000,210,5.0
WILLIAM P HOBBY ARPT,TX,APPROACH,50,,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,50,140,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,,,1.0
WILLIAM P HOBBY ARPT,TX,APPROACH,4000,220,20.0
WILLIAM P HOBBY ARPT,TX,APPROACH,,,0.0
WILLIAM P HOBBY ARPT,TX,APPROACH,1700,160,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,6000,250,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1200,126,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1000,160,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,220,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,137,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1000,140,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,200,128,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,20,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,30,138,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,130,3.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2300,150,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,130,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,240,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1700,150,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,250,15.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,250,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,140,3.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,1.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,135,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,40,210,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,75,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1200,145,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,25,110,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,180,14.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,220,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,20,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,600,140,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,6000,250,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,210,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,170,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,140,0.800000012
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,140,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,132,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,180,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,300,140,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,250,130,0.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,6000,,18.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1800,210,9.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3500,210,8.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3500,230,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,135,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,100,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,40,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,141,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,160,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,,8.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,150,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,120,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,200,,0.25
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,120,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,220,15.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,700,140,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,9000,,40.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,25.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,7500,,25.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,100,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,135,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,125,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1100,140,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,133,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1200,130,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,240,15.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,143,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,30,150,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,180,7.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,100,130,0.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,140,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,142,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,135,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,210,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,150,135,0.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,100,135,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,20,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,300,130,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,230,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,135,1.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,150,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,20,125,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,140,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,15,125,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,30,125,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1200,150,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,210,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1000,150,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,135,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,200,6.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,180,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,150,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1000,140,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,250,8.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1000,150,3.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1600,150,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,135,3.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,30,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,210,12.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,250,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,230,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,4000,210,15.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,150,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,250,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1800,136,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2000,210,8.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,210,17.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,135,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,150,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,145,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,135,0.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,30,142,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,210,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,135,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,240,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2100,180,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,7000,240,25.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,130,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,1500,140,4.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5000,240,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,135,1.5
AUSTIN-BERGSTROM INTL,TX,APPROACH,2500,180,9.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2250,240,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3500,220,15.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,800,145,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3500,250,6.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,5.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,300,150,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,145,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2300,230,8.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,300,151,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,3000,219,10.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,140,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5500,210,15.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,2500,200,9.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,50,,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,160,1.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,500,,2.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,10,80,0.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,6000,250,20.0
AUSTIN-BERGSTROM INTL,TX,APPROACH,5,115,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,160,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,15,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,200,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,20,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,140,4.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,5000,200,15.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,5,100,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,120,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,90,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2000,175,10.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,100,150,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1500,180,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,135,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,170,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,15,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,20,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,20,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,180,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,25,128,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3500,200,10.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,300,140,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2400,180,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,135,1.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,100,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,132,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,170,6.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,20,126,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1200,130,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,4000,210,11.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,25,,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3500,200,10.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,600,160,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2400,190,7.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3000,230,12.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,123,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2100,160,8.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,30,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2400,170,10.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,210,12.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2400,210,7.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,180,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,5,135,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,125,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3000,200,20.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,150,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,20,134,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1500,135,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,130,0.300000012
LAMBERT-ST LOUIS INTL,MO,APPROACH,300,135,1.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2000,200,10.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2200,170,6.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,145,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1500,160,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2700,150,6.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,600,150,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,100,150,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1300,137,1.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1500,138,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,140,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,4900,200,8.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,35,135,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3000,220,12.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2000,180,10.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,135,1.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,130,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1500,135,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3400,210,15.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,135,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1100,135,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,20,135,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,170,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,100,135,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2900,230,15.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,30,140,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,135,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,140,4.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,140,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3000,180,9.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,140,1.5
LAMBERT-ST LOUIS INTL,MO,APPROACH,2000,180,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,150,130,0.0500000007
LAMBERT-ST LOUIS INTL,MO,APPROACH,2500,200,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,500,132,0.5
LAMBERT-ST LOUIS INTL,MO,APPROACH,2100,160,7.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,140,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,134,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,,150,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1000,150,3.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,10,149,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,40,,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1200,140,4.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,2900,190,12.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,4100,220,12.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,4000,210,13.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,,,2.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,5,125,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,1600,170,5.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,3900,180,8.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,50,115,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,25,170,0.0
LAMBERT-ST LOUIS INTL,MO,APPROACH,5000,250,15.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3200,,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3200,180,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,10,140,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,10,140,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,1.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,100,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,50,150,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1500,,5.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1200,,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1700,,6.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2100,,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1800,,6.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,5400,200,8.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,20,139,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,130,3.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,7000,210,15.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,200,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,220,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,4000,250,8.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,4000,210,5.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,5000,190,15.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,130,8.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,300,130,1.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2200,170,7.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1300,140,4.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,50,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2200,,5.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,800,135,3.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,50,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2200,,9.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1300,,4.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2400,140,7.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,170,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,50,140,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,4000,230,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2500,180,1.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,210,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,1000,140,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,900,145,3.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3500,150,5.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,180,3.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,3000,180,10.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2200,168,7.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,2200,165,7.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,15,125,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,10,137,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,500,134,1.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,0.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,2.0
INDIANAPOLIS INTL ARPT,IN,APPROACH,,,0.0
